,cluster_id,momentum
DAN,1500,0.0114358322744598
DAR,1271,-0.009009009009009
DAVA,854,0.0139552426452098
DBI,1239,0.0173646578140962
DBX,1789,0.0132352941176472
DCI,1956,0.0488537549407115
DCO,1721,0.0371747211895909
DCOM,1941,-0.0006527415143603
DCP,1983,0.0
DCPH,1694,0.002758620689655
DD,757,0.0257428454059975
DDS,1090,-0.002188490783087
DE,1377,0.0050090640206086
DEA,1477,-0.0033112582781456
DECK,1116,0.0107841959889514
DEI,65,0.0106157112526539
DELL,1578,-0.0115649606299211
DENN,1161,0.030848329048843
DEO,29,0.0254721380275122
DESP,558,-0.0016260162601626
DFFN,1606,0.0806765975219268
DFIN,1151,-0.0236350744504845
DFS,667,0.0033035714285714
DG,1841,-0.0003236245954693
DGII,1588,0.0143841774048547
DHI,24,-0.0182742214532871
DHIL,1608,0.0163802978235969
DHR,102,0.0088878115783945
DHT,244,0.0060501296456352
DIN,1176,-0.0288248337028825
DINO,20,0.0474658085277555
DIOD,1874,0.0114516304940559
DIS,1827,-0.0069270153599035
DK,61,0.0099324592769169
DKS,1726,0.0068413278395398
DLB,1548,0.0081429265921244
DLR,43,-0.0108414084236785
DLTH,1458,0.0
DLTR,1783,0.0090170704845815
DLX,1338,-0.0184381778741865
DMRC,1391,-0.0451201569396764
DNLI,1617,0.0
DOC,99,0.0060687795010114
DOCU,1046,-0.0011409942950285
DOMO,1868,0.000650618087183
DOOO,1540,-0.0046264168401571
DOOR,1022,0.0095720720720722
DORM,1382,-0.018811136192626
DOV,1203,0.010006671114076
DOW,959,0.0216783216783216
DOX,96,0.0010915838882217
DPZ,1979,0.03846807931703
DQ,1486,0.1041195110909913
DRD,1951,0.0122950819672131
DRH,27,0.0
DSGX,1228,0.0381378935939193
DTE,38,-0.0123051681706316
MFC,1972,0.0106275303643723
DX,1574,-0.0256991685563113
DXC,1728,0.0191059841384282
DXCM,1064,0.0921538600126112
DXPE,1835,0.0428917329643721
DY,1627,0.1751573447334045
E,76,0.0010578279266573
EA,196,0.0121687398593834
EAF,1527,0.015929203539823
EAT,149,0.0507894736842104
EB,1288,0.0936073059360731
EBAY,1030,-0.0069716775599129
EBF,15,0.0110344827586206
EBIX,1181,-0.0051783659378595
EC,246,0.006311992786294
ECL,1561,0.0160632490431071
ECPG,1113,0.0373452012383901
ECVT,952,0.0308764940239043
ED,38,0.0029099048684948
EDIT,1753,-0.0353982300884954
EDU,80,0.1007231404958677
EEFT,1590,0.013596692696371
MPLX,205,0.0049090384060062
EFC,2019,-0.0077700077700076
EFSC,94,0.008079324274697
EFX,1876,-0.0028637732681578
EGAN,1971,0.0076824583866839
EGBN,1429,-0.0168911207486875
EGHT,1358,0.0281954887218043
EGLE,75,0.0062815995097289
EGO,1262,0.0139484978540771
EGP,1877,0.0156795492129602
EGRX,1133,-0.039642857142857
EHC,1323,-0.0176928520877565
EHTH,1210,0.1616847826086958
EIG,209,-0.014861517676199
EIX,1260,-0.0098172481498262
ELAN,1122,-0.0401046207497821
ELF,1722,0.0062876254180601
ELME,1466,-0.0155830198817839
ELP,1939,-0.0091743119266054
ELS,122,-0.0197051525324771
ELV,493,-0.0018949475163413
EME,846,-0.0021528525296016
EMN,1542,0.0200704225352112
EMR,1648,0.0131785757465845
ENB,109,0.0303837953091683
ENLC,333,0.0071047957371226
ENOV,1299,-0.0071155848663657
ENPH,1890,0.0048924143827482
ENR,1400,0.018492961634005
ENS,1780,0.0083801962730181
ENSG,1419,0.0149754135002233
ENTA,1654,-0.0160824742268042
ENTG,1216,-0.0017599436818022
